author_sort,title,series,series_index,Stars (out of 5)
"Harstad, Donald",The Big Thaw,Carl Houseman,3,5
"Harstad, Donald",Code 61,Carl Houseman,4,5
"Hart, Jillian",Gingham Bride,,1,5
"Hart, John",The King of Lies,,1,5
"Hart, Megan & Dane, Lauren",No Reservations,,1,3
"Hartley, A. J.",Act of Will,Will Hawthorne,1,5
"Hartley, A. J.",Will Power,Will Hawthorne,2,5
"Hartman, Honor",The Unkindest Cut,Bridge Club Mystery,2,5
"Hartwell, David G. & Cramer, Kathryn",Year's Best SF 15,Year's Best SF,15,5
"Harvell, Richard",The Bells: A Novel,,1,5
"Haslett, Adam",Union Atlantic,,1,5
"Hastings, Max","Retribution: The Battle for Japan, 1944-45",,1,5
"Hatcher, Robin Lee",A Vote of Confidence,,1,5
"Hattemer-Higgins, Ida",The History of History,,1,5
"Hawke, Simon",The Broken Blade,Dark Sun,1.3,5
"Hawke, Simon",The outcast,Dark Sun,3.1,5
"Hawke, Simon",The seeker,Dark Sun,3.2,5
"Hawke, Simon",The Nomad,Dark Sun,3.3,5
"Hawke, Simon",The Romulan Prize,Star Trek: TNG,34,3
"Hawke, Simon",Blaze of Glory,Star Trek: TNG,47,3
"Hawking, Stephen",A brief history of time,,1,4
"Hawking, Stephen",A Briefer History of Time,,1,5
"Hawking, Stephen",Illustrated Theory of Everything: The Origin and Fate of the Universe,,1,4
"Hawking, Stephen & Mlodinow, Leonard",The Grand Design,,1,5
"Hawthorne, Julian",Ken's Mystery,,1,5
"Hawthorne, Nathaniel & Stade, Nancy",The Scarlet Letter,,1,5
"Hayder, Mo",Hanging Hill,,1,5
"Hayes, Bill",Five Quarts: A Personal and Natural History of Blood,,1,5
"Hayes, Erica",Shadowglass: The Shadowfae Chronicles,Shadowfae Chronicles,2,5
"Haygood, Wil",Sweet Thunder: The Life and Times of Sugar Ray Robinson,,1,5
"Hayles, Brian",Doctor Who: The Ice Warriors,Doctor Who: Target,33,3
"Hayles, Brian & Willow, Alan",Doctor Who: Curse of Peladon,Doctor Who: Target,13,3
"Hazleton, Lesley",After the Prophet: The Epic Story of the Shia-Sunni Split in Islam,,1,5
"Headley, Justina Chen",North of Beautiful,,1,5
"Hearn, Lian",Across the Nightingale Floor,Tales of The Otori,1,4
"Hearn, Lian",Heaven's Net is Wide,Tales of The Otori,1,4
"Hearn, Lian",Grass for his Pillow,Tales of The Otori,2,4
"Hearn, Lian",Brilliance of the Moon,Tales of The Otori,3,4
"Hearn, Lian",The Harsh Cry of the Heron,Tales of The Otori,4,4
"Hearst, Dorothy",Promise of the Wolves: A Novel,Wolf Chronicles,1,5
"Hedges, Chris",Death of the Liberal Class,,1,5
"Heidler, David S. & Heidler, Jeanne T.",Henry Clay: The Essential American,,1,5
"Heilemann, John & Halperin, Mark","Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",,1,5
"Heim, Scott",Mysterious Skin,,1,5
"Heinlein, Robert A.",Starship Troopers,,1,4
"Heinlein, Robert A.",Stranger in a Strange Land,,1,4
"Heinlein, Robert A.",The Door Into Summer,,1,4
"Heinlein, Robert A.",Time Enough for Love: The Lives of Lazarus Long,,1,4
"Heinlein, Robert A. & A., Robert",The Moon Is a Harsh Mistress,,1,4
"Heinlein, Robert Anson",I Will Fear No Evil,,1,4
"Heinrich, Bernd",Summer World: A Season of Bounty,,1,5
"Heinrich, Bernd",Winter World: The Ingenuity of Animal Survival,,1,5
"Heitzmann, Kristen",Indivisible,,1,5
"Helgoe, Laurie",Introvert Power: Why Your Inner Life Is Your Hidden Strength,,1,5
"Heller, Anne C.",Ayn Rand and the World She Made,,1,5
"Heller, Joseph",Catch-22,,1,4
"Hemingway, Ernest",For Whom the Bell Tolls,,1,4
"Hemingway, Ernest",The Complete Short Stories of Ernest Hemingway,,1,5
"Hemingway, Ernest",The Old Man and the Sea,,1,3
"Hemingway, Ernest",The sun also rises,,1,4
"Hendee, Barb",Blood Memories,Vampire Memories,1,5
"Hendee, Barb",Hunting Memories,Vampire Memories,2,5
"Hendee, Barb & Hendee, J. C.",Dhampir,Saga of the Noble Dead,1,5
"Hendee, Barb & Hendee, J. C.",Thief of Lives,Saga of the Noble Dead,2,5
"Hendee, Barb & Hendee, J. C.",Sister of the Dead,Saga of the Noble Dead,3,5
"Hendee, Barb & Hendee, J. C.",Traitor to the Blood,Saga of the Noble Dead,4,4
"Hendee, Barb & Hendee, J. C.",Rebel Fay,Saga of the Noble Dead,5,4
"Hendee, Barb & Hendee, J. C.",Child of a Dead God,Saga of the Noble Dead,6,4
"Hendee, Barb & Hendee, J. C.",In Shade and Shadow,Saga of the Noble Dead,7,4
"Hendee, Barb & Hendee, J. C.",Through Stone and Sea,Saga of the Noble Dead,8,5
"Henderson, Alice",Voracious,,1,5
"Henderson, Dee",God's Gift,,1,5
"Henderson, Lauren",Kiss Me Kill Me,Scarlett Wakefield,1,3
"Henderson, Lauren",Kisses and Lies,Scarlett Wakefield,2,3
"Henry, Jarad",Blood Sunset,,1,5
"Henry, O. & Blake, Victoria",Selected stories of O. Henry,,1,5
"Henry, Patti Callahan",When Light Breaks,,1,5
"Henry, Sara J.",Learning to Swim: A Novel,,1,5
"Hensperger, Beth","The Bread Lover's Bread Machine Cookbook: A Master Baker's 300 Favorite Recipes for Perfect-Every-Time Bread, From Every Kind of Machine",,1,5
"Hensperger, Beth & Kaufmann, Julie","The Ultimate Rice Cooker Cookbook: 250 No-Fail Recipes for Pilafs, Risottos, Polenta, Chilis, Soups, Porridges, Puddings and More, from Start to Finish in Your Rice Cooker",,1,5
"Herbert, Brian & Anderson, Kevin J.",Hunters of Dune,Dune,7,5
"Herbert, Brian & Anderson, Kevin J.",Sandworms of Dune,Dune,7.5,5
"Herbert, Brian & Anderson, Kevin J.",House Atreides,Dune: House Trilogy,1,5
"Herbert, Brian & Anderson, Kevin J.",House Harkonnen,Dune: House Trilogy,2,5
"Herbert, Brian & Anderson, Kevin J.",House Corrino,Dune: House Trilogy,3,5
"Herbert, Brian & Anderson, Kevin J.",The Butlerian Jihad,Dune: Legends of Dune,1,5
"Herbert, Brian & Anderson, Kevin J.",The Machine Crusade,Dune: Legends of Dune,2,5
"Herbert, Brian & Anderson, Kevin J.",The Battle of Corrin,Dune: Legends of Dune,3,5
"Herbert, Brian & Anderson, Kevin J.",Paul of Dune,Dune:Heroes of Dune,1,5
"Herbert, Brian & Anderson, Kevin J.",The Winds of Dune,Dune:Heroes of Dune,2,5
"Herbert, Frank",Dune,Dune,1,5
"Herbert, Frank",Dune Messiah,Dune,2,5
"Herbert, Frank",Children of Dune,Dune,3,5
"Herbert, Frank",God Emperor of Dune,Dune,4,5
"Herbert, Frank",Heretics of Dune,Dune,5,5
"Herbert, Frank",Chapterhouse: Dune,Dune,6,5
"Herbert, Frank & Herbert, Brian & Anderson, Kevin J.",The Road to Dune,Dune companion books,1,5
"Herbert, James",'48,,1,5
"Herman, Arthur",How the Scots invented the Modern World: the true story of how western Europe's poorest nation created our world & everything in it,,1,5
"Herwig, Holger H.","The Marne, 1914: The Opening of World War I and the Battle That Changed the World",,1,5
"Herzfeld, Michael",Evicted From Eternity: The Restructuring of Modern Rome,,1,5
"Herzog, Brad",Turn Left at the Trojan Horse: A Would-Be Hero's American Odyssey,,1,5
"Hesse, Hermann",Siddhartha,,1,5
"Hesse, Hermann",Steppenwolf,,1,4
"Hessler, Peter",Country Driving: A Journey Through China from Farm to Factory,,1,5
"Hessler, Peter",River Town: Two Years on the Yangtze,,1,5
"Heugten, Antoinette van",Saving Max,,1,5
"Hewitt, Kate",The Bride's Awakening,,1,5
"Hewson, David",The Lizard's Bite,Nic Costa,4,5
"Hewson, David",The Seventh Sacrament,Nic Costa,5,5
"Hewson, David",Dante's Numbers,Nic Costa,7,5
"Hewson, David",Lucifer's Shadow,,1,5
"Hiaasen, Carl & Montalbano, Bill",Powder Burn,,1,5
"Hiaasen, Carl & Montalbano, William D. & Montalbano, Bill",Trap Line,,1,5
"Hickam, Homer",Rocket Boys,Coalwood,1,5
"Higgins, Jack",Eye of the storm,Sean Dillon,1,5
"Higgins, Jack",The Wolf at the Door,Sean Dillon,17,5
"Higgins, Jack",Comes the Dark Stranger,,1,5
"Higgins, Jack",Cry of the Hunter,,1,5
"Higgins, Jack",The Judas Gate,,1,5
"Higgins, Kristan",Catch of the Day,,1,5
"Higgins, Kristan",Just One of the Guys,,1,5
"Higgins, Kristan",The Next Best Thing,,1,5
"Higgins, Kristan",Too Good to Be True,,1,5
"Higgs, Liz Curtis",Mine Is the Night: A Novel,,1,5
"Hightman, Jason",The Saint of Dragons,Simon St. George,1,5
"Hightman, Jason",Samurai,Simon St. George,2,5
"Hijuelos, Óscar",Beautiful María of My Soul,The Mambo Kings,2,5
"Hildebrand, Dietrich Von",Transformation in Christ: On the Christian Attitude,,1,4
"Hilderbrand, Elin",A Summer Affair: A Novel,,1,5
"Hileman, J. Michael",Vrin: Ten Mortal Gods,,1,5
"Hill, Joe",Heart-shaped box,,1,5
"Hill, Joey W.",Vampire Trinity,Vampire Queen Series,6,5
"Hill, Reginald",The Stranger House,,1,5
"Hill, Sandra",The Viking Takes a Knight,,1,5
"Hillard, Steve",Mirkwood: A Novel About J.R.R. Tolkien,,1,5
"Hillenbrand, Laura","Unbroken: A World War II Story of Survival, Resilience, and Redemption",,1,5
"Hillerman, Tony",Dance Hall of the Dead,Joe Leaphorn and Jim Chee,2,5
"Hillerman, Tony",Listening Woman,Joe Leaphorn and Jim Chee,3,5
"Hillerman, Tony",People of Darkness,Joe Leaphorn and Jim Chee,4,5
"Hillerman, Tony",The Dark Wind,Joe Leaphorn and Jim Chee,5,5
"Hillerman, Tony",The Ghostway,Joe Leaphorn and Jim Chee,6,5
"Hillerman, Tony",Skinwalkers,Joe Leaphorn and Jim Chee,7,5
"Hillerman, Tony",Talking God,Joe Leaphorn and Jim Chee,9,5
"Hillerman, Tony",Coyote Waits,Joe Leaphorn and Jim Chee,10,5
"Hillerman, Tony",Sacred Clowns,Joe Leaphorn and Jim Chee,11,5
"Hillerman, Tony",The Fallen Man,Joe Leaphorn and Jim Chee,12,5
"Hillerman, Tony",The Wailing Wind,Joe Leaphorn and Jim Chee,15,5
"Hillerman, Tony",The Sinister Pig,Joe Leaphorn and Jim Chee,16,5
"Hillerman, Tony",Skeleton Man,Joe Leaphorn and Jim Chee,17,5
"Hillerman, Tony",The Shape Shifter,Joe Leaphorn and Jim Chee,18,5
"Hillerman, Tony",Finding Moon,,1,5
"Hillerman, Tony",The Fly on the Wall,,1,5
"Him, Chanrithy",When Broken Glass Floats: Growing Up Under the Khmer Rouge,,1,5
"Hinchcliffe, Philip",Doctor Who: The Masque of the Mandragora,Doctor Who: Target,42,4
"Hinchcliffe, Philip",Doctor Who: The Seeds of Doom,Doctor Who: Target,55,4
"Hinchcliffe, Philip & Nation, Terry",Doctor Who: The Keys of Marinus,Doctor Who: Target,38,4
"Hinds, Gareth & Shakespeare, William",King Lear,,1,5
"Hinton, Craig",The Crystal Brucephalus,Doctor Who: Missing Adventures,4,3
"Hinton, Craig",Millennial Rites,Doctor Who: Missing Adventures,15,3
"Hinton, Craig",Doctor Who: Godengine,Doctor Who: New Adventures,51,3
"Hinton, Craig",Doctor Who: The Quantum Archangel,Doctor Who: Past Adventures,38,3
"Hinton, Craig",Doctor Who: Synthespians,Doctor Who: Past Adventures,67,3
"Hitchens, Christopher",God Is Not Great: How Religion Poisons Everything,,1,5
"Hitchens, Christopher",Hitch-22: A Memoir,,1,5
"Hitchens, Christopher",The Portable Atheist: Essential Readings for the Nonbeliever,,1,5
"Hitz, Ciril",Baking Artisan Bread: 10 Expert Formulas for Baking Better Bread at Home,,1,5
"Hoag, Tami",The Trouble with J.J.,Loveswept,253,3
"Hoag, Tami",Heart of Gold,Rainbow Chasers,1,5
"Hoag, Tami",Kill the Messenger,,1,5
"Hoag, Tami",Secrets to the Grave,,1,5
"Hoag, Tami",Still Waters,,1,5
"Hobb, Robin",Ship of Magic,Liveship Traders,1,5
"Hobb, Robin",Mad Ship,Liveship Traders,2,5
"Hobb, Robin",Ship of Destiny,Liveship Traders,3,5
"Hobb, Robin",Fool's Errand,Tawny Man Trilogy,1,5
"Hobb, Robin",Golden Fool,Tawny Man Trilogy,2,5
"Hobb, Robin",Fool's Fate,Tawny Man Trilogy,3,5
"Hobb, Robin",Assassin's Apprentice,The Farseer Trilogy,1,5
"Hobb, Robin",Royal Assassin,The Farseer Trilogy,2,5
"Hobb, Robin",Assassin's Quest,The Farseer Trilogy,3,5
"Hobb, Robin",Dragon Keeper,The Rain Wild Chronicles,1,5
"Hobb, Robin",Dragon Haven,The Rain Wild Chronicles,2,5
"Hobb, Robin",Shaman's Crossing: Book One of The Soldier Son Trilogy,The Soldier Son Trilogy,1,4
"Hobb, Robin",Forest Mage,The Soldier Son Trilogy,2,4
"Hobb, Robin",Renegade's Magic: Book Three of The Soldier Son Trilogy,The Soldier Son Trilogy,3,4
"Hobbes, Thomas",Leviathan,,1,4
"Hobson, M. K.",The Native Star,,1,5
"Hocking, Amanda",Letters to Elise: A Peter Townsend Novella,My Blood Approves,5,5
"Hodder, Mark",The Strange Affair of Spring Heeled Jack,,1,5
"Hodges, Zedart",The Beginning... The End... Anew!,,1,4
"Hodgkinson, Amanda",22 Britannia Road,,1,5
"Hodgson, William Hope & Lassen, Jeremy",Boats of the Glen Carrig and Other Nautical Adve: The Collected Fiction of William Hope Hodgson,,1,5
"Hoesel, Don",Elisha's Bones,,1,5
"Hoesel, Don",Hunter's Moon: A Novel,,1,5
"Hoffman, Alice",Practical Magic,,1,5
"Hoffman, Alice",The Red Garden,,1,5
"Hoffman, Chandra",Chosen: A Novel,,1,5
"Hoffman, Jilliane",Pretty Little Things,,1,5
"Hoffman, Paul",The left hand of God,,1,4
"Hoffmann, Kate",The mighty Quinns: Liam,,1,5
"Hogan, Chuck",Prince of Thieves,,1,3
"Hogg, Nicholas",Show Me the Sky,,1,5
"Holcombe, Elizabeth",Heaven and the Heather,,1,5
"Holland, Barbara","Secrets of the Cat: Its Lore, Legend, and Lives",,1,5
"Hollick, Helen",I Am the Chosen King,,1,5
"Holly & Black, Larbalestier",Zombies vs. Unicorns,Killer Unicorns,1,5
"Holmes, Richard",The Age of Wonder: The Romantic Generation and the Discovery of the Beauty and Terror of Science,,1,5
"Holmes, Robert",Doctor Who: The Two Doctors,Doctor Who: Target,100,3
"Holmqvist, Ninni & Delargy, Marlaine",The Unit,,1,3
"Holt, Anne",1222,The Hanne Wilhelmsen series,8,5
"Holt, Simon",The Devouring,Devouring,1,5
"Holt, Tom","Life, Liberty, and the Pursuit of Sausages",,1,5
"Holzer, Hans",Ghosts,,1,5
Homer,The Iliad,,1,5
"Homer & Fagles, Robert & Knox, Bernard",The Odyssey,,1,5
"Homer & Squillace, Robert & Palmer, George Herbert",The Odyssey,,1,5
"Hooper, Kay",Always a Thief,,1,5
"Hooper, Kay",Sense of Evil,,1,5
"Horack, Skip",The Eden Hunter: A Novel,,1,5
"Hornby, Nick",A Long Way Down,,1,5
"Hornby, Nick",An Education: Screenplay,,1,5
"Hornby, Nick",Fever Pitch,,1,5
"Hornby, Nick","Juliet, Naked",,1,5
"Hornby, Nick",Not a Star and Otherwise Pandemonium,,1,5
"Hornfischer, James D.",Neptune's Inferno: The U.S. Navy at Guadalcanal,,1,5
"Hornfischer, James D.",The Last Stand of the Tin Can Sailors: The Extraordinary World War II Story of the U.S. Navy's Finest Hour,,1,5
"Horning, Kathleen T.",From Cover to Cover: Evaluating and Reviewing Children's Books,,1,5
"Horowitz, Alexandra","Inside of a Dog: What Dogs See, Smell, and Know",,1,3
"Horowitz, Anthony",Ark Angel,Alex Rider,6,5
"Horowitz, Anthony",Crocodile Tears,Alex Rider,8,5
"Horowitz, Anthony",The Puffin Book of Horror Stories,,1,3
"Horton, Ben",Monster Republic,Monster Republic,1,5
"Horwood, William",Duncton Tales,The Book of Silence,1,4
"Hosseini, Khaled",A Thousand Splendid Suns,,1,5
"Hosseini, Khaled",The Kite Runner,,1,5
"Howard, Jonathan L.",Johannes Cabal the Necromancer,,1,5
"Howard, Linda",Come Lie With Me,,1,5
"Howard, Maureen",The Rags of Time,,1,5
"Howard, Robert E.",The Iron Man,,1,4
"Hoyle, Fred & Hoyle, Fred",The Black Cloud,,1,5
"Hoyt, Elizabeth",Wicked Intentions,Maiden Lane,1,5
"Hsieh, Tony","Delivering Happiness: A Path to Profits, Passion, and Purpose",,1,5
"Hubbard, Kirsten",Like Mandarin,,1,5
"Huckabee, Mike",A Simple Government: Twelve Things We Really Need From Washington (And a Trillion That We Don't!),,1,5
"Hudson, Jan",The Maverick,Texas Outlaws,7,5
"Huff, Tanya",The Truth of Valor,Confederation,5,5
"Huffington, Arianna",Third World America: How Our Politicians Are Abandoning the Middle Class and Betraying the American Dream,,1,5
"Hugh, Dafydd ab",Balance of Power,Star Trek: TNG,46,3
"Hughart, Barry",Bridge of Birds,Chronicles of Master Li and Number Ten Ox,1,4
"Hughart, Barry",The Story of the Stone,Chronicles of Master Li and Number Ten Ox,2,3
"Hughart, Barry",Eight skilled gentlemen,Chronicles of Master Li and Number Ten Ox,3,3
"Hughes, Holly",Best Food Writing 2010,,1,5
"Hughes, Nancy S.",The 1500-Calorie-A-Day Cookbook,,1,5
"Hughes, Robert",The Fatal Shore,,1,5
"Hughes, Ryan",The Darkness Before the Dawn,Dark Sun,1.2,5
"Hugo, Victor",Les misérables (Abridged),,1,5
"Hugo, Victor",The Hunchback of Notre Dame,,1,5
"Hulke, Malcolm",Doctor Who: Cave Monsters,Doctor Who: Target,9,3
"Hulke, Malcolm",Doctor Who: Dinosaur Invasion,Doctor Who: Target,22,4
"Hulke, Malcolm",Doctor Who: The Doomsday Weapon,Doctor Who: Target,23,4
"Hulke, Malcolm",Doctor Who: The Green Death,Doctor Who: Target,29,4
"Hulke, Malcolm",Doctor Who: The Sea-Devils,Doctor Who: Target,54,4
"Hulke, Malcolm",Doctor Who: Space War,Doctor Who: Target,57,4
"Hulke, Malcolm",Doctor Who: War Games,Doctor Who: Target,70,3
"Hulme, John & Wexler, Michael",The Glitch in Sleep,Seems,1,5
"Hulme, John & Wexler, Michael",The Split Second,,1,5
"Hunt, Andrew & Platt, Marc",Doctor Who: Cats Cradle: Witch Mark,Doctor Who: New Adventures,7,3
"Hunt, Stephen",The Court of the Air,Jackelian,1,4
"Hunt, Stephen",The Kingdom Beyond the Waves,Jackelian,2,4
"Hunt, Stephen",The Rise of the Iron Moon,Jackelian,3,4
"Hunt, Stephen",Secrets of the Fire Sea,Jackelian,4,4
"Hunter, Maddy",Alpine for You,Passport to Peril Mystery,1,4
"Hunter, Maddy",Top O' the Mournin',Passport to Peril Mystery,2,5
"Hunter, Maddy",Pasta Imperfect,Passport to Peril Mystery,3,5
"Hunter, Maddy",Hula Done It?,Passport to Peril Mystery,4,5
"Hunter, Maddy",G'Day to Die: A Passport to Peril Mystery,Passport to Peril Mystery,5,5
"Hunter, Maddy",Norway to Hide: A Passport to Peril Mystery,Passport to Peril Mystery,6,5
"Hunter, Madeline",Dangerous in Diamonds,The Rarest Blooms,4,5
"Hunter, Samantha",Fascination,Hotwires,1,5
"Hunter, Samantha",Friction,Hotwires,2,5
"Hunter, Samantha",Flirtation,Hotwires,3,5
"Hunter, Samantha",Make Your Move,,1,5
"Hunter, Stephen",Black Light,Bob Lee Swagger,2,5
"Hunter, Stephen",Time to Hunt,Bob Lee Swagger,3,5
"Hunter, Stephen",Tapestry of Spies,,1,5
"Hunter, Stephen",The Day Before Midnight,,1,5
"Hurley, Kameron",God's War,,1,5
"Hurston, Zora Neale & Danticat, Edwidge",Their Eyes Were Watching God,,1,5
"Hurwin, Davida Wills",Freaks and Revelations,,1,5
"Hurwitz, Gregg Andrew",The Kill Clause,Tim Rackley,1,5
"Huso, Anthony",The Last Page,,1,5
"Huston, Charlie",Already Dead,Joe Pitt,1,4
"Huston, Charlie",No Dominion,Joe Pitt,2,4
"Huston, Charlie",Half the Blood of Brooklyn,Joe Pitt,3,4
"Huston, Charlie",Every Last Drop,Joe Pitt,4,4
"Huston, Charlie",My Dead Body,Joe Pitt,5,4
"Huston, Charlie",The Mystic Arts of Erasing All Signs of Death,,1,5
"Huxley, Aldous",Brave New World,,1,5
"Huxley, Aldous",Brave New World Revisited,,1,5
"Hyatt, Elise",French Polished Murder,A Daring Finds Mystery,2,5
"Hyde, Elisabeth",In the Heart of the Canyon,,1,5
"Hyde, Lewis",The Gift: Creativity and the Artist in the Modern World,,1,5
"Hynes, James",Next,,1,4
"Ice-T & Century, Douglas",Ice: A Memoir of Gangster Life and Redemption--From South Central to Hollywood,,1,5
"Iding, Laura",Marrying the Playboy Doctor,,1,5
"Iggulden, Conn",Genghis: Birth of an Empire,Conqueror,1,4
"Iggulden, Conn",Genghis: Lords of the Bow,Conqueror,2,4
"Iggulden, Conn",Genghis: Bones of the Hills: A Novel,Conqueror,3,5
"Iggulden, Conn",Genghis: Empire of Silver,Conqueror,4,5
"Iggulden, Conn",Emperor: The Gates of Rome,Emperor,1,4
"Iggulden, Conn",Emperor: The Death of Kings,Emperor,2,4
"Iggulden, Conn",Emperor: The field of swords,Emperor,3,4
"Iggulden, Conn",Emperor: The Gods of War,Emperor,4,4
"Iggulden, Conn",Blackwater,,1,5
"Ignatius, David",The Increment: A Novel,,1,5
"II, King Abdullah & Abdullah, King",Our Last Best Chance: The Pursuit of Peace in a Time of Peril,,1,5
"III, David R. George",Star Trek: Typhon Pact: Rough Beasts of Empire,Star Trek: Typhon Pact,3,5
"Illustrated, The Editors of Cooks",The Cook's Illustrated How-to-Cook Library,,1,5
"Indridason, Arnaldur",Tainted Blood,Inspector Erlendur: UK Publication Order,1,5
"Indridason, Arnaldur",Silence of the Grave,Kriminalpolis Erlendur Sveinsson,4,5
"Indridason, Arnaldur",Voices,Kriminalpolis Erlendur Sveinsson,5,5
"Indridason, Arnaldur",The Draining Lake,Kriminalpolis Erlendur Sveinsson,6,5
"Indridason, Arnaldur",Arctic Chill,Kriminalpolis Erlendur Sveinsson,7,5
"Indriðason, Arnaldur",Operation Napoleon,,1,5
"Inoue, Yasushi & Moy, Jean Oda & Searls, Damion",Tun-Huang,,1,5
"Ione, Larissa",Eternal Rider,,1,5
"Ip, G. & El-Erian, Mohamed",The Little Book of Economics: How the Economy Works in the Real World,,1,5
"Irvine, Alex",The Seal of Karga Kul: A Dungeons & Dragons Novel,,1,5
"Irvine, Ian",Geomancer,The Three Worlds Cycle,5,5
"Irvine, Ian",Tetrarch,The Three Worlds Cycle,6,5
"Irvine, Ian",Chimaera,The Three Worlds Cycle,8,5
"Irving, John",A prayer for Owen Meany: a novel,,1,4
"Irving, John",Last Night in Twisted River,,1,5
"Irving, Shae & Nolo",Nolo's Encyclopedia of Everyday Law: Answers to Your Most Frequently Asked Legal Questions,,1,5
"Irving, Washington",The Legend of Sleepy Hollow and Other Writings,,1,5
"Irwin, William & Bassham, Gregory",The Ultimate Harry Potter and Philosophy: Hogwarts for Muggles,,1,5
"Ishiguro, Kazuo",Never Let Me Go,,1,5
"Ishiguro, Kazuo",Nocturnes: Five Stories of Music and Nightfall,,1,5
"Itzkoff, Dave",Cocaine's Son: A Memoir,,1,5
"Ives, Susanna",Rakes and Radishes,,1,5
"Ivy, Alexandra",When Darkness Comes,Guardians of Eternity,1,5
"Ivy, Alexandra",Embrace the Darkness,Guardians of Eternity,2,5
"Ivy, Alexandra",Darkness Everlasting,Guardians of Eternity,3,5
"Ivy, Alexandra",Darkness Revealed,Guardians of Eternity,4,5
"Ivy, Alexandra",Darkness Unleashed,Guardians of Eternity,5,5
"Iyer, Lars",Spurious,,1,4
"Jackson, Brenda",One Special Moment,A Madaris Family Novel,1,5
"Jackson, Brenda",Eternally Yours,A Madaris Family Novel,4,5
"Jackson, Brenda",Secret Love,A Madaris Family Novel,8,3
"Jackson, Brenda",Star of His Heart,A Madaris Family Novel,10,5
"Jackson, Brenda",The Midnight Hour,A Madaris Family Novel,12,3
"Jackson, Brenda",Sensual Confessions,A Madaris Family Novel,15,5
"Jackson, Brenda",Bachelor Untamed,Bachelors in Demand,1,5
"Jackson, Brenda",Forged of Steele Bundle (Books 1-4),Forged of Steele,1,4
"Jackson, Brenda",Intimate Seduction,Forged of Steele,5,4
"Jackson, Brenda",Hidden Pleasures,Kimani,1,5
"Jackson, Brenda",The Object of His Protection,The Braddocks,1,5
"Jackson, Brenda",Just Deserts,The Three Mrs. Fosters,1,5
"Jackson, Brenda",A Little Dare,Westmoreland,2,4
"Jackson, Brenda",Thorn's Challenge,Westmoreland,3,4
"Jackson, Brenda",Stone Cold Surrender,Westmoreland,4,4
"Jackson, Brenda",Riding the Storm,Westmoreland,5,4
"Jackson, Brenda",Jared's Counterfeit Fiancee,Westmoreland,6,4
"Jackson, Brenda",The Durango Affair,Westmoreland,8,4
"Jackson, Brenda",Ian's Ultimate Gamble,Westmoreland,9,4
"Jackson, Brenda","Seduction, Westmoreland Style",Westmoreland,10,4
"Jackson, Brenda",Taming Clint Westmoreland,Westmoreland,12,4
"Jackson, Brenda",Quade's Babies,Westmoreland,14,4
"Jackson, Brenda","Tall, Dark...Westmoreland!",Westmoreland,15,4
"Jackson, Brenda",Westmoreland's Way,Westmoreland,16,4
"Jackson, Brenda",Hot Westmoreland Nights,Westmoreland,17,4
"Jackson, Brenda",A Wife for a Westmoreland,Westmoreland,18,5
"Jackson, Brenda",What a Westmoreland Wants,Westmoreland,19,5
"Jackson, Brenda",A Silken Thread,,1,5
"Jackson, Brenda",Bachelor Unleashed,,1,5
"Jackson, Brenda",Beyond Temptation,,1,5
"Jackson, Brenda",Irresistible Forces,,1,4
"Jackson, Brenda",Risky Pleasures,,1,5
"Jackson, Brenda",Spontaneous,,1,4
"Jackson, Brenda",Wrapped in Pleasure,,1,5
"Jackson, Brenda & Gates, Olivia",In Too Deep: Husband Material & the Sheikh's Bargained Bride,,1,4
"Jackson, Joshilyn",Backseat Saints,,1,5
"Jackson, Joshilyn",The Girl Who Stopped Swimming,,1,5
"Jackson, Lisa",Devious,,1,5
"Jackson, Lisa","Lisa Jackson's Bentz & Montoya Bundle: Hot Blooded, Cold Blooded, Shiver, Absolute Fear, Lost Souls, Malice, & an Exclusive Extended Excerpt From Devious",,1,5
"Jackson, Lisa",Running Scared,,1,5
"Jackson, Lisa",Without Mercy,,1,5
"Jackson, Neil",The Outsiders,,1,5
"Jackson, Shirley",The Lottery,,1,3
"Jacobs, A. J.",The Know-it-All: One Man's Humble Quest to Become the Smartest Person in the World,,1,5
"Jacobs, A. J.",The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,,1,5
"Jacobs, David",Death Angel,,1,5
"Jacobs, Melissa","Love, Life and Linguine",,1,5
"Jacobson, Alan",The 7th Victim,,1,5
"Jacobson, Howard",Kalooki Nights,,1,5
"Jacobson, Howard",The Act of Love,,1,5
"Jacobson, Howard",The Finkler Questione,,1,5
"Jacobson, Jennifer Richard",Small as an Elephant,,1,5
"Jacques, Martin",When China rules the world: the rise of the middle kingdom and the end of the western world,,1,5
"James, Arlene",A Match Made in Texas,,1,5
"James, Henry","Daisy Miller: and, Washington Square",,1,5
"James, Henry",The Bostonians,,1,5
"James, Henry",The Wings of the Dove,,1,5
"James, Jesse",American Outlaw,,1,5
"James, Julie",Just the Sexiest Man Alive,,1,5
"James, Julie",Practice Makes Perfect,,1,5
"James, Julie",Something about You,,1,5
"James, P. D.",The Children of Men,,1,4
"James, Peter",The Perfect Murder,,1,5
"Jamison, Bill & Jamison, Cheryl Alters",Around the World in 80 Dinners,,1,5
"Jamison, Kay Redfield",Nothing was the same: a memoir,,1,5
