author_sort,title,series,series_index,Stars (out of 5)
"Allston, Aaron",Star Wars: X-Wing: Wraith Squadron,Star Wars: 7 ABY,3,3
"Allston, Aaron",Star Wars: X-Wing: Iron Fist,Star Wars: 7.5 ABY,1,3
"Allston, Aaron",Star Wars: X-Wing: Solo Command,Star Wars: 7.5 ABY,2,3
"Allston, Aaron",Outcast,Star Wars: Fate of the Jedi,1,5
"Allston, Aaron",Backlash,Star Wars: Fate of the Jedi,4,5
"Alonzo, Rebecca N. & DeMoss, Bob & Blackstone, J. R.",The Devil in Pew Number Seven,,1,4
"Alvarez, Julia",In the Time of the Butterflies,,1,5
"Alvarez, Julia",Return to Sender,,1,5
"Alvtegen, Karin",Shadow,,1,5
"Alvtegen, Karin",Shame,,1,5
"Aly, Götz & Sontheimer, Michael & Frisch, Shelley",Fromms: How Julius Fromm's Condom Empire Fell to the Nazis,,1,5
"Amason, Jessica & Blakeley, Richard",This Is Why You're Fat: Where Dreams Become Heart Attacks,,1,5
"Ambrose, Starr",Our Little Secret,,1,5
"Ambrose, Stephen E.","Band of Brothers: E Company, 506th Regiment, 101st Airborne From Normandy to Hitler's Eagle's Nest",,1,4
"Ambrose, Stephen E.","Citizen Soldiers: The U.S. Army from the Normandy Beaches to the Buldge to the Surrender of Germany Jun 7, 1994-May 7, 1945",,1,4
"Ambrose, Stephen E.","Pegasus Bridge: June 6, 1944",,1,4
"Ambrose, Stephen E. & Brinkley, Douglas",Rise to Globalism: American Foreign Policy Since 1938,,1,5
"Ames, Mark","Going Postal: Rage, Murder, and Rebellion: From Reagan's Workplaces to Clinton's Columbine and Beyond",,1,4
"Amiri, Cornelia",The Wolf and the Druidess,,1,5
"Amis, Kingsley",Lucky Jim,,1,4
"Amis, Kingsley",The old devils: a novel,,1,3
"Amis, Martin",Heavy Water: And Other Stories,,1,5
"Amis, Martin",Money: A Suicide Note,,1,3
"Amsterdam, Elana",The Gluten-Free Almond Flour Cookbook,,1,5
"Anand, Mulk Raj",Untouchable,,1,5
"Anders, Lou",Masked,,1,5
"Andersen, Christopher P.",Barack and Michelle,,1,5
"Andersen, Hans Christian & Clarke, Harry & Zipes, Jack & Hult, Marte H.",Fairy Tales,,1,5
"Anderson, Jean",A Love Affair With Southern Cooking: Recipes and Recollections,,1,5
"Anderson, Kevin J",Captain Nemo: The Fantastic History of a Dark Genius,,1,5
"Anderson, Kevin J.",Hidden Empire,Saga of the Seven Suns,1,3
"Anderson, Kevin J.",A Forest of Stars,Saga of the Seven Suns,2,3
"Anderson, Kevin J.",Horizon Storms,Saga of the Seven Suns,3,3
"Anderson, Kevin J.",Scattered Suns,Saga of the Seven Suns,4,3
"Anderson, Kevin J.",Of Fire and Night,Saga of the Seven Suns,5,3
"Anderson, Kevin J.",Metal Swarm,Saga of the Seven Suns,6,3
"Anderson, Kevin J.",The Ashes of Worlds,Saga of the Seven Suns,7,5
"Anderson, Kevin J.",Star Wars: Tales From the Mos Eisley Cantina,Star Wars: 0 BBY–0 ABY,3,3
"Anderson, Kevin J.",Star Wars: The Jedi Academy Trilogy: Jedi Search,Star Wars: 11 ABY,1,3
"Anderson, Kevin J.",Star Wars: The Jedi Academy Trilogy: Dark Apprentice,Star Wars: 11 ABY,2,3
"Anderson, Kevin J.",Star Wars: The Jedi Academy Trilogy: Champions of the Force,Star Wars: 11 ABY,3,3
"Anderson, Kevin J.",Star Wars: Darksaber,Star Wars: 12 ABY,2,3
"Anderson, Kevin J.",Star Wars: Young Jedi Knights 10: Jedi Bounty,Star Wars: 24 ABY,3,3
"Anderson, Kevin J.",Star Wars: Tales of the Bounty Hunters,Star Wars: 3 ABY,2,3
"Anderson, Kevin J.",Star Wars: Tales From Jabba's Palace,Star Wars: 4 ABY,2,3
"Anderson, Kevin J.",The Last Days of Krypton,,1,5
"Anderson, Kevin J. & Beason, Doug",Ill Wind,,1,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 01: Heirs of the Force,Star Wars: 23 ABY,1,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 02: Shadow Academy,Star Wars: 23 ABY,2,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 03: The Lost Ones,Star Wars: 23 ABY,3,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 04: Lightsabers,Star Wars: 23 ABY,4,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 05: Darkest Knight,Star Wars: 23 ABY,5,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 06: Jedi Under Siege,Star Wars: 23 ABY,6,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 07: Shards of Alderaan,Star Wars: 23 ABY,7,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 08: Diversity Alliance,Star Wars: 24 ABY,1,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 09: Delusions of Grandeur,Star Wars: 24 ABY,2,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 11: The Emperor's Plague,Star Wars: 24 ABY,4,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 12: Return to Ord Mantell,Star Wars: 24 ABY,5,3
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 13: Trouble on Cloud City,Star Wars: 24 ABY,6,3
